Row Labels,
Palestinian,Palestinian
אבו גוש,Abu Gosh
אורנית,Ornit
איזור השומרון,Samaria area
אלפי מנשה,Alfie Menashe
אפרת,Efrat
אריאל,Ariel
בית אל,Bethel
בית אריה,Beit Arye
בית שמש,Beit Shemesh
ביתר עילית,Beitar Illit
גבעת זאב,Ze'ev hill
גוש עציון,Gush Etzion
גזר,Gezer
הבקעה,HaBikaa
הר אדר,Mount Adar
הר חברון,Mount Hebron
חבל מודיעין,Modi'in Region
ירושלים,Jerusalem
מבשרת,Mevaseret
מגילות,Megilot
מגילות ים המלח,Megilot
מודיעין,Modi'in
מודיעין עילית,Modi'in Illit
מטה בנימין,Mate Binyamin
מטה יהודה,Mate Yehuda
מעלה אדומים,Ma'ale Adumim
עמנואל,Emmanuel
קדומים,Kdumim
קרית ארבע,Kiryat Arba
קרית יערים,Kiryat Yaarim
קרני שומרון,Horns of Samaria
שומרון,Samaria
